fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2023-07-28,1255000,,
2023-07-29,1255000,,
2023-07-30,1255000,,
2023-07-31,1315000,,
2023-08-01,1340000,,
2023-08-02,1374000,,
2023-08-03,1386000,,
2023-08-04,1312000,,
2023-08-05,1312000,,
2023-08-06,1312000,,
2023-08-07,1380000,,
2023-08-08,1371000,,
2023-08-09,1341000,,
2023-08-10,1312000,,
2023-08-11,1300000,,
2023-08-12,1300000,,
2023-08-13,1300000,,
2023-08-14,1284000,,
2023-08-15,1290000,,
2023-08-16,1295000,,
2023-08-17,1280000,,
2023-08-18,1290000,,
2023-08-19,1290000,,
2023-08-20,1290000,,
2023-08-21,1298000,,
2023-08-22,1292000,,
2023-08-23,1315000,,
2023-08-24,1328000,,
2023-08-25,1330000,,
2023-08-26,1330000,,
2023-08-27,1330000,,
2023-08-28,1320000,,
2023-08-29,1320000,,
2023-08-30,1340000,,
2023-08-31,1330000,,
2023-09-01,1295000,,
2023-09-02,1295000,,
2023-09-03,1295000,,
2023-09-04,1295000,,
2023-09-05,1320000,,
2023-09-06,1320000,,
2023-09-07,1265000,,
2023-09-08,1255000,,
2023-09-09,1255000,,
2023-09-10,1255000,,
2023-09-11,1286000,,
2023-09-12,1276000,,
2023-09-13,1262000,,
2023-09-14,1275000,,
2023-09-15,1320000,,
2023-09-16,1320000,,
2023-09-17,1320000,,
2023-09-18,1309000,,
2023-09-19,1331000,,
2023-09-20,1300000,,
2023-09-21,1284000,,
2023-09-22,1270000,,
2023-09-23,1270000,,
2023-09-24,1270000,,
2023-09-25,1270000,,
2023-09-26,1295000,,
2023-09-27,1296000,,
2023-09-28,1263000,,
2023-09-29,1256000,,
2023-09-30,1256000,,
2023-10-01,1256000,,
2023-10-02,1310000,,
2023-10-03,1328000,,
2023-10-04,1335000,,
2023-10-05,1340000,,
2023-10-06,1338000,,
2023-10-07,1338000,,
2023-10-08,1338000,,
2023-10-09,1338000,,
2023-10-10,1324000,,
2023-10-11,1325000,,
2023-10-12,1352000,,
2023-10-13,1391000,,
2023-10-14,1391000,,
2023-10-15,1391000,,
2023-10-16,1381000,,
2023-10-17,1396000,,
2023-10-18,1425000,,
2023-10-19,1465000,,
2023-10-20,1467000,,
2023-10-21,1467000,,
2023-10-22,1467000,,
2023-10-23,1470000,,
2023-10-24,1475000,,
2023-10-25,1411000,,
2023-10-26,1378000,,
2023-10-27,1368000,,
2023-10-28,1368000,,
2023-10-29,1368000,,
2023-10-30,1335000,,
2023-10-31,1415000,,
2023-11-01,1350000,,
2023-11-02,1378000,,
2023-11-03,1400000,,
2023-11-04,1400000,,
2023-11-05,1400000,,
2023-11-06,1423000,,
2023-11-07,1412000,,
2023-11-08,1465000,,
2023-11-09,1467000,,
2023-11-10,1400000,,
2023-11-11,1400000,,
2023-11-12,1400000,,
2023-11-13,1424000,,
2023-11-14,1390000,,
2023-11-15,1437000,,
2023-11-16,1425000,,
2023-11-17,1386000,,
2023-11-18,1386000,,
2023-11-19,1386000,,
2023-11-20,1410000,,
2023-11-21,1400000,,
2023-11-22,1403000,,
2023-11-23,1403000,,
2023-11-24,1385000,,
2023-11-25,1385000,,
2023-11-26,1385000,,
2023-11-27,1370000,,
2023-11-28,1400000,,
2023-11-29,1410000,,
2023-11-30,1510000,,
2023-12-01,1480000,,
2023-12-02,1480000,,
2023-12-03,1480000,,
2023-12-04,1455000,,
2023-12-05,1483000,,
2023-12-06,1413000,,
2023-12-07,1428000,,
2023-12-08,1425000,,
2023-12-09,1425000,,
2023-12-10,1425000,,
2023-12-11,1482000,,
2023-12-12,1490000,,
2023-12-13,1510000,,
2023-12-14,1495000,,
2023-12-15,1468000,,
2023-12-16,1468000,,
2023-12-17,1468000,,
2023-12-18,1475000,,
2023-12-19,1565000,,
2023-12-20,1467000,,
2023-12-21,1500000,,
2023-12-22,1472000,,
2023-12-23,1472000,,
2023-12-24,1472000,,
2023-12-25,1472000,,
2023-12-26,1470000,,
2023-12-27,1483000,,
2023-12-28,1509000,,
2023-12-29,1428000,,
2023-12-30,1428000,,
2023-12-31,1428000,,
2024-01-01,1428000,,
2024-01-02,1445000,,
2024-01-03,1432000,,
2024-01-04,1432000,,
2024-01-05,1395000,,
2024-01-06,1395000,,
2024-01-07,1395000,,
2024-01-08,1385000,,
2024-01-09,1430000,,
2024-01-10,1400000,,
2024-01-11,1414000,,
2024-01-12,1376000,,
2024-01-13,1376000,,
2024-01-14,1376000,,
2024-01-15,1376000,,
2024-01-16,1426000,,
2024-01-17,1384000,,
2024-01-18,1372000,,
2024-01-19,1415000,,
2024-01-20,1415000,,
2024-01-21,1415000,,
2024-01-22,1456000,,
2024-01-23,1470000,,
2024-01-24,1448000,,
2024-01-25,1438000,,
2024-01-26,1467000,,
2024-01-27,1467000,,
2024-01-28,1467000,,
2024-01-29,1453000,,
2024-01-30,1481000,,
2024-01-31,1484000,,
2024-02-01,1474000,,
2024-02-02,1486000,,
2024-02-03,1486000,,
2024-02-04,1486000,,
2024-02-05,1479000,,
2024-02-06,1466000,,
2024-02-07,1492000,,
2024-02-08,1470000,,
2024-02-09,1503000,,
2024-02-10,1503000,,
2024-02-11,1503000,,
2024-02-12,1496000,,
2024-02-13,1476000,,
2024-02-14,1430000,,
2024-02-15,1441000,,
2024-02-16,1448000,,
2024-02-17,1448000,,
2024-02-18,1448000,,
2024-02-19,1448000,,
2024-02-20,1451000,,
2024-02-21,1464000,,
2024-02-22,1427000,,
2024-02-23,1414000,,
2024-02-24,1414000,,
2024-02-25,1414000,,
2024-02-26,1411000,,
2024-02-27,1426000,,
2024-02-28,1412000,,
2024-02-29,1433000,,
2024-03-01,1430000,,
2024-03-02,1430000,,
2024-03-03,1430000,,
2024-03-04,1453000,,
2024-03-05,1428000,,
2024-03-06,1441000,,
2024-03-07,1491000,,
2024-03-08,1431000,,
2024-03-09,1431000,,
2024-03-10,1431000,,
2024-03-11,1432000,,
2024-03-12,1445000,,
